MFCCs 30% Test 70% Train 
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.0001, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.001, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.01, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.1, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 1, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 10, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 100, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 1000, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 10000, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.0001, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 1, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 10, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 100, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 1000, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 10000, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 0.0001, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}
0.510 (+/-0.018) para {'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 100, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 1000, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 10000, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
0.744 (+/-0.047) para {'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
0.852 (+/-0.043) para {'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
0.527 (+/-0.033) para {'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 100, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 1000, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 10000, 'kernel': 'rbf'}
0.213 (+/-0.002) para {'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}
0.751 (+/-0.036) para {'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
0.880 (+/-0.039) para {'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
0.918 (+/-0.042) para {'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
0.912 (+/-0.044) para {'C': 1, 'gamma': 1, 'kernel': 'rbf'}
0.266 (+/-0.026) para {'C': 1, 'gamma': 10, 'kernel': 'rbf'}
0.216 (+/-0.010) para {'C': 1, 'gamma': 100, 'kernel': 'rbf'}
0.216 (+/-0.010) para {'C': 1, 'gamma': 1000, 'kernel': 'rbf'}
0.216 (+/-0.010) para {'C': 1, 'gamma': 10000, 'kernel': 'rbf'}
0.751 (+/-0.032) para {'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}
