MFCCs 30% Test 70% Train 
0.899 (+/-0.054) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}
0.899 (+/-0.054) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}
0.906 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}
0.906 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}
0.904 (+/-0.033) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 3, 'weights': 'uniform'}
0.904 (+/-0.033) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 3, 'weights': 'distance'}
0.900 (+/-0.035) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 5, 'weights': 'uniform'}
0.900 (+/-0.035) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 5, 'weights': 'distance'}
0.895 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 6, 'weights': 'uniform'}
0.895 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 6, 'weights': 'distance'}
0.896 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 8, 'weights': 'uniform'}
0.896 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 8, 'weights': 'distance'}
0.890 (+/-0.038) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 10, 'weights': 'uniform'}
0.890 (+/-0.038) para {'algorithm': 'ball_tree', 'n_neighbors': 1, 'p': 10, 'weights': 'distance'}
0.874 (+/-0.019) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}
0.899 (+/-0.054) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}
0.875 (+/-0.034) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}
0.906 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}
0.876 (+/-0.024) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 3, 'weights': 'uniform'}
0.904 (+/-0.033) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 3, 'weights': 'distance'}
0.864 (+/-0.025) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 5, 'weights': 'uniform'}
0.900 (+/-0.035) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 5, 'weights': 'distance'}
0.863 (+/-0.028) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 6, 'weights': 'uniform'}
0.895 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 6, 'weights': 'distance'}
0.862 (+/-0.025) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 8, 'weights': 'uniform'}
0.896 (+/-0.041) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 8, 'weights': 'distance'}
0.861 (+/-0.028) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 10, 'weights': 'uniform'}
0.890 (+/-0.038) para {'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 10, 'weights': 'distance'}
0.887 (+/-0.040) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}
0.893 (+/-0.047) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}
0.890 (+/-0.031) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}
0.895 (+/-0.030) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}
0.890 (+/-0.027) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 3, 'weights': 'uniform'}
0.900 (+/-0.025) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 3, 'weights': 'distance'}
0.887 (+/-0.015) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 5, 'weights': 'uniform'}
0.893 (+/-0.019) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 5, 'weights': 'distance'}
0.884 (+/-0.022) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 6, 'weights': 'uniform'}
0.894 (+/-0.023) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 6, 'weights': 'distance'}
0.885 (+/-0.025) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 8, 'weights': 'uniform'}
0.898 (+/-0.032) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 8, 'weights': 'distance'}
0.882 (+/-0.025) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 10, 'weights': 'uniform'}
0.892 (+/-0.043) para {'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 10, 'weights': 'distance'}
0.885 (+/-0.029) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}
0.892 (+/-0.033) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'}
0.891 (+/-0.024) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}
0.898 (+/-0.031) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}
0.884 (+/-0.032) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 3, 'weights': 'uniform'}
0.900 (+/-0.019) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 3, 'weights': 'distance'}
0.874 (+/-0.027) para {'algorithm': 'ball_tree', 'n_neighbors': 4, 'p': 5, 'weights': 'uniform'}
