MFCCs 30% Test 70% Train 
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.0001, 'gamma': 0.01, 'kernel': 'poly'}
0.823 (+/-0.026) para {'C': 0.0001, 'gamma': 0.1, 'kernel': 'poly'}
0.915 (+/-0.036) para {'C': 0.0001, 'gamma': 1, 'kernel': 'poly'}
0.899 (+/-0.050) para {'C': 0.0001, 'gamma': 10, 'kernel': 'poly'}
0.898 (+/-0.040) para {'C': 0.0001, 'gamma': 100, 'kernel': 'poly'}
0.893 (+/-0.039) para {'C': 0.0001, 'gamma': 1000, 'kernel': 'poly'}
0.895 (+/-0.042) para {'C': 0.0001, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.001, 'gamma': 0.01, 'kernel': 'poly'}
0.904 (+/-0.056) para {'C': 0.001, 'gamma': 0.1, 'kernel': 'poly'}
0.913 (+/-0.048) para {'C': 0.001, 'gamma': 1, 'kernel': 'poly'}
0.895 (+/-0.041) para {'C': 0.001, 'gamma': 10, 'kernel': 'poly'}
0.898 (+/-0.040) para {'C': 0.001, 'gamma': 100, 'kernel': 'poly'}
0.893 (+/-0.039) para {'C': 0.001, 'gamma': 1000, 'kernel': 'poly'}
0.895 (+/-0.042) para {'C': 0.001, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 0.0001, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.01, 'gamma': 0.001, 'kernel': 'poly'}
0.512 (+/-0.063) para {'C': 0.01, 'gamma': 0.01, 'kernel': 'poly'}
0.919 (+/-0.052) para {'C': 0.01, 'gamma': 0.1, 'kernel': 'poly'}
0.906 (+/-0.055) para {'C': 0.01, 'gamma': 1, 'kernel': 'poly'}
0.895 (+/-0.041) para {'C': 0.01, 'gamma': 10, 'kernel': 'poly'}
0.898 (+/-0.040) para {'C': 0.01, 'gamma': 100, 'kernel': 'poly'}
0.893 (+/-0.039) para {'C': 0.01, 'gamma': 1000, 'kernel': 'poly'}
0.895 (+/-0.042) para {'C': 0.01, 'gamma': 10000, 'kernel': 'poly'}
0.213 (+/-0.002) para {'C': 0.1, 'gamma': 0.0001, 'kernel': 'poly'}
